model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
othello_mamba_large_synthetic_s1,othello,mamba,large,synthetic,1,yes,configs/runs/othello_mamba_large_synthetic_s1.yaml,checkpoints/othello_mamba_large_synthetic_s1/model.pt,planned,
othello_mamba_large_synthetic_s2,othello,mamba,large,synthetic,2,yes,configs/runs/othello_mamba_large_synthetic_s2.yaml,checkpoints/othello_mamba_large_synthetic_s2/model.pt,planned,
othello_mamba_large_championship_s0,othello,mamba,large,championship,0,yes,configs/runs/othello_mamba_large_championship_s0.yaml,checkpoints/othello_mamba_large_championship_s0/model.pt,planned,
othello_mamba_large_championship_s1,othello,mamba,large,championship,1,yes,configs/runs/othello_mamba_large_championship_s1.yaml,checkpoints/othello_mamba_large_championship_s1/model.pt,planned,
othello_mamba_large_championship_s2,othello,mamba,large,championship,2,yes,configs/runs/othello_mamba_large_championship_s2.yaml,checkpoints/othello_mamba_large_championship_s2/model.pt,planned,
othello_mamba_large_mixed_s0,othello,mamba,large,mixed,0,yes,configs/runs/othello_mamba_large_mixed_s0.yaml,checkpoints/othello_mamba_large_mixed_s0/model.pt,planned,
othello_mamba_large_mixed_s1,othello,mamba,large,mixed,1,yes,configs/runs/othello_mamba_large_mixed_s1.yaml,checkpoints/othello_mamba_large_mixed_s1/model.pt,planned,
othello_mamba_large_mixed_s2,othello,mamba,large,mixed,2,yes,configs/runs/othello_mamba_large_mixed_s2.yaml,checkpoints/othello_mamba_large_mixed_s2/model.pt,planned,
maps_transformer_small_shortest_paths_s0,maps,transformer,small,shortest_paths,0,no,configs/runs/maps_transformer_small_shortest_paths_s0.yaml,checkpoints/maps_transformer_small_shortest_paths_s0/model.pt,planned,
maps_transformer_small_shortest_paths_s1,maps,transformer,small,shortest_paths,1,no,configs/runs/maps_transformer_small_shortest_paths_s1.yaml,checkpoints/maps_transformer_small_shortest_paths_s1/model.pt,planned,
